Category,Filename,Title,Spectrum type,Real data or calculated model?,Image path,Image link,Big image path,Big image link,How,Source (text),Source (hyperlink),Source 2 (text),Source 2 (hyperlink),Credit,Additional Info,Notes
Fish Tank,BlueHigh,Blue Light (High),Emission,,Fishtank_Lights/BlueHigh.jpg,https://smithsonian.github.io/si_website_spectrum_lab/includes/SpecLab_Data_Files/Fishtank_Lights/BlueHigh.jpg,,,,,,,,,,
Fish Tank,BlueMedium,Blue Light (Medium),Emission,,Fishtank_Lights/BlueMedium.jpg,https://smithsonian.github.io/si_website_spectrum_lab/includes/SpecLab_Data_Files/Fishtank_Lights/BlueMedium.jpg,,,,,,,,,,
Fish Tank,BlueLow,Blue Light (Low),Emission,,Fishtank_Lights/BlueLow.jpg,https://smithsonian.github.io/si_website_spectrum_lab/includes/SpecLab_Data_Files/Fishtank_Lights/BlueLow.jpg,,,,,,,,,,
Fish Tank,GreenHigh,Green Light (High),Emission,,Fishtank_Lights/GreenHigh.jpg,https://smithsonian.github.io/si_website_spectrum_lab/includes/SpecLab_Data_Files/Fishtank_Lights/GreenHigh.jpg,,,,,,,,,,
Fish Tank,GreenMedium,Green Light (Medium),Emission,,Fishtank_Lights/GreenMedium.jpg,https://smithsonian.github.io/si_website_spectrum_lab/includes/SpecLab_Data_Files/Fishtank_Lights/GreenMedium.jpg,,,,,,,,,,
Fish Tank,GreenLow,Green Light (Low),Emission,,Fishtank_Lights/GreenLow.jpg,https://smithsonian.github.io/si_website_spectrum_lab/includes/SpecLab_Data_Files/Fishtank_Lights/GreenLow.jpg,,,,,,,,,,
Fish Tank,RedHigh,Red Light (High),Emission,,Fishtank_Lights/RedHigh.jpg,https://smithsonian.github.io/si_website_spectrum_lab/includes/SpecLab_Data_Files/Fishtank_Lights/RedHigh.jpg,,,,,,,,,,
Fish Tank,RedMedium,Red Light (Medium),Emission,,Fishtank_Lights/RedMedium.jpg,https://smithsonian.github.io/si_website_spectrum_lab/includes/SpecLab_Data_Files/Fishtank_Lights/RedMedium.jpg,,,,,,,,,,
Fish Tank,RedLow,Red Light (Low),Emission,,Fishtank_Lights/RedLow.jpg,https://smithsonian.github.io/si_website_spectrum_lab/includes/SpecLab_Data_Files/Fishtank_Lights/RedLow.jpg,,,,,,,,,,
Fish Tank,Orange_RedMediumGreenLow,Orange Light (Medium Red + Low Green),Emission,,Fishtank_Lights/Orange_RedMediumGreenLow.jpg,https://smithsonian.github.io/si_website_spectrum_lab/includes/SpecLab_Data_Files/Fishtank_Lights/Orange_RedMediumGreenLow.jpg,,,,,,,,,,
Fish Tank,Teal_GreenHigh_BlueMedium,Teal Light (High Green + Medium Blue),Emission,,Fishtank_Lights/Teal_GreenHigh_BlueMedium.jpg,https://smithsonian.github.io/si_website_spectrum_lab/includes/SpecLab_Data_Files/Fishtank_Lights/Teal_GreenHigh_BlueMedium.jpg,,,,,,,,,,
Museum Conservation,S2018-1-76_VNIR-SWIR_colors_Blue_1,"Chokha Painting, Region B1",Reflection,,Museum_Conservation/Chokha_painting_colors_labeled_180px_unsharp.jpg,,Museum_Conservation/Chokha_painting_colors_labeled_670px_unsharp.jpg,https://drive.google.com/file/d/1jqG_zUv0pwjsmSF7QngT4Fjwea8VkU_I/view?usp=drive_link,,,,,,,,
Museum Conservation,S2018-1-76_VNIR-SWIR_colors_Blue_2,"Chokha Painting, Region B2",Reflection,,Museum_Conservation/Chokha_B2.png,,Museum_Conservation/Chokha_painting_colors_labeled_670px_unsharp.jpg,https://drive.google.com/file/d/1jqG_zUv0pwjsmSF7QngT4Fjwea8VkU_I/view?usp=drive_link,,,,,,,,
Museum Conservation,S2018-1-76_VNIR-SWIR_colors_Green_1,"Chokha Painting, Region G1",Reflection,,Museum_Conservation/Chokha_painting_colors_labeled_180px_unsharp.jpg,,Museum_Conservation/Chokha_painting_colors_labeled_670px_unsharp.jpg,https://drive.google.com/file/d/1jqG_zUv0pwjsmSF7QngT4Fjwea8VkU_I/view?usp=drive_link,,,,,,,,
